timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-23 15:58:22+00:00,Confira o trailer da primeira série de animação de O Menino Maluquinho para a Netflix. A série ainda não tem data de lançamento. #Netflix  https://t.co/KM5hcdXFBb,geek2mee,['Netflix'],56
2021-11-23 15:56:21+00:00,Roubaram minha Netflix.  O que eu faço? Como cancelar o cartão? #Netflix,welbermarinho,['Netflix'],1250
2021-11-23 15:48:43+00:00,#Grupos de #WhatsApp #Ecuador #Amistad #Ligar Telegram https://t.co/YB7yoKUoPt @elyex #Colegios #Estudiantes #Link #Música #Netflix #Peliculas #Unirse,elyex,"['Grupos', 'WhatsApp', 'Ecuador', 'Amistad', 'Ligar', 'Colegios', 'Estudiantes', 'Link', 'Música', 'Netflix', 'Peliculas', 'Unirse']",2302
2021-11-23 15:35:02+00:00,"Estreno en #Netflix: Terminator 2: El juicio final (1991, IMDb 8.5)  #cine #NetflixEspana https://t.co/1cykohiIBP",BestflixEs,"['Netflix', 'cine', 'NetflixEspana']",91
2021-11-23 15:25:19+00:00,A 2º temporada de Arcane foi garantida pela Netflix  #Arcane #LeagueOfLegends #Netflix #RiotGames https://t.co/PC1KgbWVyQ,CinematizandoOf,"['Arcane', 'LeagueOfLegends', 'Netflix', 'RiotGames']",994
2021-11-23 15:22:19+00:00,Chorei coma morte do Andrews  #Dinasty #Dinastia #Netflix,perciamari94,"['Dinasty', 'Dinastia', 'Netflix']",252
2021-11-23 15:17:52+00:00,"""Arcane: League of Legends"" é a melhor adaptação de um game já feita na história PARABÉNS @netflix   #Arcane #lol #LeagueOfLegends #Netflix #RiotGames",JhonsVictor_,"['Arcane', 'lol', 'LeagueOfLegends', 'Netflix', 'RiotGames']",45
2021-11-23 15:10:11+00:00,"Puts, fui ver se a série era boa e agr me apeguei. Mds! 🤡  #OReiDePorcelana #Netflix",sMatheusAg,"['OReiDePorcelana', 'Netflix']",164
2021-11-23 15:05:00+00:00,🤯 Ansiosos? Os episódios da 6ª e última temporada de 'Peaky Blinders' chegam à Netflix no começo do próximo ano. Saiba tudo!  #peakyblinders #netflix  https://t.co/3gzIKngVY4,MetroJornal,"['peakyblinders', 'netflix']",119765
2021-11-23 15:00:21+00:00,"Conversamos sobre todos os atos, nossas impressões e rumores sobre Arcane, a série de League of Legends da Riot Games, em nosso podcast.  Escute já: https://t.co/oy1uDuQ93a  #arcane #leagueoflegends #riotgames #netflix #podcast https://t.co/IHSKSPOctm",subarashow,"['arcane', 'leagueoflegends', 'riotgames', 'netflix', 'podcast']",189
2021-11-23 14:56:00+00:00,Netflix está trabalhando em um novo projeto de Power Rangers: https://t.co/Bu1JGoeWwB #PowerRangers #Netflix https://t.co/QaAQjn23oo,geek2mee,"['PowerRangers', 'Netflix']",56
